מטבח כשר,משופצת,"ממ""ד",דלתות פנדור,מזגן תדיראן,ריהוט,גישה לנכים,מיזוג,מעלית,מחסן,סורגים,חניות,מרפסות,קומות בבנין,מצב הנכס,סוג נכס,עיר,שכונה,תיווך,ציון,חדרים,קומה,"מ""ר",מחיר
,1,1,0,0,1,0,1,0,0,0,ללא,,2,במצב שמור,גג/פנטהאוז, חולון,"["" רסקו א'""]",1,"4
מ",4,1,75,"1,690,000 ₪"
,0,0,0,0,0,1,0,1,0,0,1,,9,דרוש שיפוץ,דירה, חולון,[' קרית שרת מערב'],1,4.4,2,1,50,"1,150,000 ₪"
,0,0,1,1,0,1,1,1,0,1,1,1,9,במצב שמור,דירה, חולון,[' בן גוריון'],1,"4
מ",5,3,120,"2,190,000 ₪"
,1,1,1,0,0,1,1,1,1,1,2,1,13,חדש,גג/פנטהאוז, חולון,[' קרית אילון'],1,3.9,5,12,25,"3,100,000 ₪"
,1,0,1,1,0,0,1,0,0,1,1,,4,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",3,1,75,"1,465,000 ₪"
,1,0,0,0,0,0,1,0,0,0,ללא,,3,משופץ,דירה, חולון,"["" רסקו א'""]",1,"4
מ",2,3,52,"1,299,000 ₪"
,0,0,0,1,0,1,1,1,0,1,1,1,8,במצב שמור,גג/פנטהאוז, חולון,"["" רסקו א'""]",1,"4
מ",5.5,8,220,"2,690,000 ₪"
0,0,0,0,0,0,0,1,0,0,0,1,,,במצב שמור,פרטי/קוטג', חולון,[' אגרובנק'],0,"4
מ",4,3,120,"2,500,000 ₪"
0,0,0,0,0,1,1,1,1,0,1,1,,7,במצב שמור,דירה, חולון,[' תל גיבורים'],0,4.5,4,3,75,"1,840,000 ₪"
0,1,1,1,0,0,0,1,1,1,0,2,2,15,חדש,דירה, חולון,[' קרית אילון'],0,3.9,5,2,127,"3,050,000 ₪"
0,1,0,1,1,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",3.5,4,93,"1,450,000 ₪"
0,0,0,0,1,0,0,1,1,1,1,1,1,7,במצב שמור,דירה, חולון,[' בן גוריון'],0,"4
מ",5,6,125,"2,250,000 ₪"
0,0,0,0,0,0,0,1,1,0,1,ללא,,8,במצב שמור,דירה, חולון,[' תל גיבורים'],0,4.5,3.5,3,70,"1,400,000 ₪"
0,0,1,0,0,0,0,1,1,1,1,1,1,6,במצב שמור,דירה, חולון,[' קרית אילון'],0,3.9,5,1,110,"2,600,000 ₪"
1,1,0,0,1,1,0,1,0,0,0,1,2,3,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",4,1,115,"1,850,000 ₪"
0,0,0,0,1,0,0,1,0,0,0,ללא,,4,משופץ,דירה, חולון,"[' מרכז', ' קרית עבודה']",0,4.3,3,2,60,"1,600,000 ₪"
0,0,0,0,1,0,0,1,1,0,1,1,2,6,במצב שמור,דירה, חולון,[' נאות רחל'],0,"4
מ",4,2,100,"1,650,000 ₪"
0,1,0,1,0,0,0,1,1,0,1,2,,6,משופץ,גג/פנטהאוז, חולון,[' קרית שרת מערב'],0,4.4,5,5,120,לא צוין מחיר
0,1,1,0,1,1,0,1,1,0,1,1,1,6,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",4,3,90,"1,849,000 ₪"
0,0,0,0,1,1,0,1,0,0,0,ללא,,4,במצב שמור,דירה, חולון,[' קרית שרת מערב'],0,4.4,3,3,60,"1,330,000 ₪"
0,1,0,0,0,1,0,1,1,1,1,1,,6,משופץ,דירה, חולון,[' נאות רחל'],0,"4
מ",5.5,1,118,"1,800,000 ₪"
0,1,0,1,0,0,0,1,0,0,1,ללא,,4,משופץ,דירה, חולון,"["" ג'סי כהן""]",0,4.4,3,2,65,"1,270,000 ₪"
0,1,0,1,1,0,1,1,1,0,1,1,,3,משופץ,דירה, חולון,"["" רסקו א'""]",0,"4
מ",4.5,3,100,"2,380,000 ₪"
0,0,1,1,1,0,0,1,1,0,1,1,2,5,חדש,דירה, חולון,[' נווה רמז'],0,4.3,4,1,96,"1,980,000 ₪"
0,0,1,0,0,1,0,1,1,1,0,1,1,7,במצב שמור,דירה, חולון,[' שיכון ותיקים'],0,4.2,5,3,100,"1,820,000 ₪"
,1,1,1,1,0,1,1,1,0,0,1,1,6,במצב שמור,,,,1,"4
מ",,,,
,1,0,1,1,1,0,1,0,0,1,1,1,4,משופץ,דירה, חולון,[' נאות רחל'],1,"4
מ",4,2,88,"1,499,999 ₪"
